Date,Price,Open,High,Low,Vol.,Change %
08/24/2025,"114,765.00","115,431.50","115,663.30","114,756.90",36.79K,-0.58%
08/23/2025,"115,433.30","116,928.90","117,024.30","114,576.50",39.63K,-1.28%
08/22/2025,"116,928.90","112,492.90","117,416.90","111,698.50",72.83K,3.95%
08/21/2025,"112,481.10","114,275.00","114,776.30","112,023.00",43.00K,-1.57%
08/20/2025,"114,275.00","112,878.10","114,616.70","112,409.40",54.63K,1.24%
08/19/2025,"112,880.30","116,218.90","116,729.20","112,750.90",62.15K,-2.86%
08/18/2025,"116,203.80","117,417.90","117,552.70","114,653.80",58.82K,-1.02%
08/17/2025,"117,405.40","117,393.80","118,559.40","117,192.40",21.87K,-0.01%
08/16/2025,"117,413.40","117,356.30","117,914.90","117,195.60",25.18K,0.05%
08/15/2025,"117,356.30","118,314.10","119,231.90","116,816.80",45.23K,-0.81%
08/14/2025,"118,314.20","123,313.60","124,436.80","117,275.10",86.59K,-4.06%
08/13/2025,"123,323.40","120,138.40","123,651.80","118,959.90",76.09K,2.64%
08/12/2025,"120,146.20","118,689.60","120,317.20","118,217.40",56.86K,1.23%
08/11/2025,"118,689.60","119,291.80","122,319.50","118,242.50",81.13K,-0.50%
08/10/2025,"119,287.00","116,468.40","119,305.30","116,468.40",46.65K,2.42%
08/09/2025,"116,471.60","116,676.50","117,893.00","116,357.70",34.33K,-0.18%
08/08/2025,"116,676.30","117,480.50","117,625.10","115,917.80",39.88K,-0.68%
08/07/2025,"117,480.50","115,002.10","117,628.40","114,267.30",47.52K,2.16%
08/06/2025,"115,002.10","114,131.70","115,714.00","113,361.20",34.73K,0.76%
08/05/2025,"114,139.10","115,055.30","115,111.70","112,678.90",41.41K,-0.80%
08/04/2025,"115,055.30","114,213.10","115,720.90","114,116.10",36.55K,0.74%
08/03/2025,"114,213.10","112,547.90","114,758.40","111,992.40",27.15K,1.48%
08/02/2025,"112,547.70","113,306.40","114,050.00","112,015.50",38.34K,-0.67%
08/01/2025,"113,312.10","115,766.70","116,054.60","112,760.60",77.85K,-2.12%
07/31/2025,"115,765.00","117,840.40","118,920.70","115,510.00",56.43K,-1.76%
07/30/2025,"117,840.40","117,949.80","118,693.50","115,830.70",48.17K,-0.09%
07/29/2025,"117,950.10","118,054.80","119,261.00","117,002.70",51.88K,-0.09%
07/28/2025,"118,053.90","119,402.70","119,788.20","117,426.50",61.81K,-1.13%
07/27/2025,"119,398.10","117,918.30","119,771.10","117,840.40",34.87K,1.26%
07/26/2025,"117,917.60","117,632.20","118,298.10","117,150.50",31.06K,0.24%
07/25/2025,"117,631.90","118,311.50","118,449.80","114,843.50",131.51K,-0.57%
07/24/2025,"118,310.90","118,760.70","119,459.70","117,141.70",55.00K,-0.38%
07/23/2025,"118,763.00","119,965.50","120,089.50","117,345.20",50.19K,-1.00%
07/22/2025,"119,965.50","117,388.20","120,253.10","116,199.10",70.23K,2.20%
07/21/2025,"117,388.10","117,297.20","119,634.00","116,540.90",54.78K,0.08%
07/20/2025,"117,297.20","117,848.40","118,860.00","116,515.20",40.07K,-0.47%
07/19/2025,"117,848.40","117,942.30","118,508.20","117,308.60",23.56K,-0.08%
07/18/2025,"117,940.30","119,196.40","120,801.20","116,839.20",66.90K,-1.05%
07/17/2025,"119,194.90","118,680.60","120,944.50","117,489.70",55.75K,0.43%
07/16/2025,"118,683.20","117,762.40","120,028.00","117,030.50",60.71K,0.78%
07/15/2025,"117,762.30","119,846.70","119,944.00","115,774.00",113.79K,-1.74%
07/14/2025,"119,849.50","119,092.20","123,104.70","118,913.70",89.94K,0.64%
07/13/2025,"119,090.60","117,422.40","119,441.60","117,247.70",33.24K,1.42%
07/12/2025,"117,419.50","117,535.60","118,206.60","116,951.20",32.19K,-0.10%
07/11/2025,"117,535.60","115,994.00","118,848.40","115,261.90",89.27K,1.33%
07/10/2025,"115,993.60","111,246.10","116,626.30","110,631.90",82.26K,4.27%
07/09/2025,"111,246.00","108,913.10","111,915.70","108,329.90",56.81K,2.14%
07/08/2025,"108,913.10","108,267.60","109,208.30","107,474.20",32.36K,0.59%
07/07/2025,"108,269.60","109,207.00","109,686.80","107,526.50",35.34K,-0.86%
07/06/2025,"109,207.00","108,204.70","109,701.80","107,818.80",21.94K,0.93%
07/05/2025,"108,204.70","107,989.60","108,357.50","107,797.80",14.93K,0.20%
07/04/2025,"107,989.60","109,600.80","109,723.70","107,268.20",40.92K,-1.47%
07/03/2025,"109,600.50","108,846.70","110,506.80","108,550.80",45.39K,0.70%
07/02/2025,"108,843.70","105,694.00","109,727.80","105,163.50",62.51K,2.98%
07/01/2025,"105,694.30","107,176.40","107,532.30","105,289.40",40.28K,-1.38%
06/30/2025,"107,171.10","108,362.30","108,777.00","106,743.10",37.46K,-1.10%
06/29/2025,"108,361.10","107,304.30","108,470.50","107,188.40",25.96K,0.98%
06/28/2025,"107,304.40","107,048.20","107,542.30","106,822.00",14.26K,0.24%
06/27/2025,"107,044.20","106,948.00","107,726.50","106,414.10",46.24K,0.09%
06/26/2025,"106,945.90","107,350.60","108,261.20","106,650.00",38.70K,-0.38%
06/25/2025,"107,349.40","106,086.00","108,128.00","105,828.20",58.14K,1.20%
06/24/2025,"106,078.60","105,376.90","106,268.70","104,642.90",52.81K,0.67%
06/23/2025,"105,376.90","100,782.50","106,032.70","99,696.90",83.16K,4.34%
06/22/2025,"100,990.40","102,114.50","103,300.40","98,249.20",81.37K,-1.10%
06/21/2025,"102,113.20","103,287.20","103,989.30","100,947.80",37.52K,-1.13%
06/20/2025,"103,280.50","104,669.60","106,520.30","102,396.80",51.48K,-1.33%
06/19/2025,"104,669.60","104,894.20","105,220.50","103,934.50",28.47K,-0.21%
06/18/2025,"104,894.20","104,571.40","105,553.00","103,622.40",45.60K,0.32%
06/17/2025,"104,559.80","106,769.80","107,747.40","103,386.30",60.73K,-2.04%
06/16/2025,"106,740.40","105,594.00","108,899.30","104,993.80",50.95K,1.09%
06/15/2025,"105,591.80","105,421.60","106,098.90","104,502.00",26.22K,0.16%
06/14/2025,"105,421.50","106,028.50","106,196.90","104,321.00",30.99K,-0.62%
06/13/2025,"106,080.30","105,702.70","106,147.00","102,739.60",73.84K,0.36%
06/12/2025,"105,703.00","108,662.20","108,776.20","105,703.00",59.87K,-2.72%
06/11/2025,"108,661.20","110,269.20","110,386.10","108,081.90",44.80K,-1.46%
06/10/2025,"110,269.20","110,268.30","110,369.20","108,380.60",58.28K,0.00%
06/09/2025,"110,268.30","105,739.60","110,404.90","105,333.30",64.28K,4.28%
06/08/2025,"105,739.60","105,564.20","106,449.30","105,011.60",29.11K,0.17%
06/07/2025,"105,564.20","104,308.30","105,911.70","103,911.00",32.39K,1.20%
06/06/2025,"104,308.30","101,524.10","105,306.50","101,127.60",61.97K,2.74%
06/05/2025,"101,521.90","104,690.60","105,914.40","100,421.10",73.53K,-3.03%
06/04/2025,"104,695.60","105,383.50","105,971.20","104,224.00",50.06K,-0.66%
06/03/2025,"105,388.30","105,845.60","106,758.40","104,886.90",49.47K,-0.43%
06/02/2025,"105,845.60","105,635.20","105,930.70","103,729.70",46.44K,0.20%
06/01/2025,"105,635.20","104,598.00","105,867.50","103,768.60",33.03K,0.99%
