Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
19/08/2025,8500,8575,8600,8450,128.59M,-2.30%
15/08/2025,8700,8825,8850,8700,68.75M,-0.85%
14/08/2025,8775,8925,8950,8750,122.93M,-1.68%
13/08/2025,8925,8975,8975,8725,129.08M,0.85%
12/08/2025,8850,8625,8875,8575,171.02M,3.51%
11/08/2025,8550,8500,8550,8425,128.56M,3.01%
08/08/2025,8300,8325,8400,8300,68.38M,0.00%
07/08/2025,8300,8325,8350,8300,43.62M,0.00%
06/08/2025,8300,8425,8425,8300,56.33M,-1.48%
05/08/2025,8425,8350,8450,8325,69.48M,1.81%
04/08/2025,8275,8325,8350,8275,49.05M,-0.30%
01/08/2025,8300,8400,8425,8300,86.20M,0.30%
31/07/2025,8275,8350,8375,8250,206.01M,-1.19%
30/07/2025,8375,8475,8475,8325,98.10M,-0.30%
29/07/2025,8400,8500,8500,8375,104.24M,-1.18%
28/07/2025,8500,8625,8625,8475,99.48M,0.59%
25/07/2025,8450,8500,8525,8450,58.68M,-0.59%
24/07/2025,8500,8475,8550,8450,138.26M,0.89%
23/07/2025,8425,8450,8500,8400,70.97M,0.30%
22/07/2025,8400,8450,8475,8400,77.98M,-0.59%
21/07/2025,8450,8450,8500,8375,95.38M,0.30%
18/07/2025,8425,8550,8575,8425,80.43M,-1.17%
17/07/2025,8525,8500,8550,8500,86.02M,0.00%
16/07/2025,8525,8550,8600,8500,97.48M,-0.29%
15/07/2025,8550,8600,8600,8475,77.22M,0.29%
14/07/2025,8525,8650,8675,8450,125.20M,-1.16%
11/07/2025,8625,8575,8675,8575,135.99M,0.29%
10/07/2025,8600,8525,8650,8500,111.77M,1.18%
09/07/2025,8500,8500,8550,8450,94.46M,0.00%
08/07/2025,8500,8550,8600,8425,215.61M,-1.45%
07/07/2025,8625,8625,8650,8550,49.94M,-0.29%
04/07/2025,8650,8650,8700,8550,43.59M,0.58%
03/07/2025,8600,8700,8750,8600,50.37M,-0.86%
